,source,target
0,1.0595506907234058e+18,486977981.0
1,1.0595506907234058e+18,102168028.0
2,1.0595506907234058e+18,43818877.0
3,1.0595506907234058e+18,468445437.0
4,1.0595506907234058e+18,1.405606216043225e+18
5,1.0595506907234058e+18,1.3738424209919836e+18
6,1.0595506907234058e+18,8.72706035689173e+17
7,1.0595506907234058e+18,33602074.0
8,1.0595506907234058e+18,41038250.0
9,1.0595506907234058e+18,246317067.0
10,1.0595506907234058e+18,1928966532.0
11,1.0595506907234058e+18,288267288.0
12,1.0595506907234058e+18,492452355.0
13,1.0595506907234058e+18,1.3671120254622228e+18
14,1.0595506907234058e+18,1.1052126613887918e+18
15,1.0595506907234058e+18,2451475912.0
16,1.0595506907234058e+18,70417132.0
17,1.0595506907234058e+18,751163130.0
18,1.0595506907234058e+18,3207751919.0
19,1.0595506907234058e+18,1.1537463809990697e+18
20,1.0595506907234058e+18,1.223601631893377e+18
21,1.0595506907234058e+18,1.2528196131522355e+18
22,1.0595506907234058e+18,7.873865395171164e+17
23,1.0595506907234058e+18,40341175.0
24,1.0595506907234058e+18,8.696979904322601e+17
25,1.0595506907234058e+18,1.250952290925785e+18
26,1.0595506907234058e+18,1.3092733220357816e+18
27,1.0595506907234058e+18,2247155275.0
28,1.0595506907234058e+18,492500712.0
29,1.0595506907234058e+18,1.280710738672259e+18
30,1.0595506907234058e+18,1.0174094922234388e+18
31,1.0595506907234058e+18,1.2500829290212024e+18
32,1.0595506907234058e+18,1.2167857200037765e+18
33,1.0595506907234058e+18,264924050.0
34,1.0595506907234058e+18,3321031691.0
35,1.0595506907234058e+18,1.1139764516682834e+18
36,1.0595506907234058e+18,147657826.0
37,1.0595506907234058e+18,3407368552.0
38,1.0595506907234058e+18,351995615.0
39,1.0595506907234058e+18,241749173.0
40,1.0595506907234058e+18,9.961966655592776e+17
41,1.0595506907234058e+18,1.2768427424806052e+18
42,1.0595506907234058e+18,1.2792114728166605e+18
43,1.0595506907234058e+18,7.946849210088366e+17
44,1.0595506907234058e+18,9.211932767781888e+17
45,1.0595506907234058e+18,35833757.0
46,1.0595506907234058e+18,1.1682572487260488e+18
47,1.0595506907234058e+18,37460358.0
48,1.0595506907234058e+18,1.251616153501401e+18
49,1.0595506907234058e+18,1.2128806592004014e+18
50,1.0595506907234058e+18,1.257046058372391e+18
51,1.0595506907234058e+18,1191450763.0
52,1.0595506907234058e+18,497339370.0
53,1.0595506907234058e+18,1.038932155651502e+18
54,1.0595506907234058e+18,2723625873.0
55,1.0595506907234058e+18,9.996229614422876e+17
56,1.0595506907234058e+18,33341436.0
57,1.0595506907234058e+18,7.112807670920069e+17
58,1.0595506907234058e+18,1.1091991854615592e+18
59,1.0595506907234058e+18,948831775.0
60,1.0595506907234058e+18,9.715984972198624e+17
61,1.0595506907234058e+18,1.217595739926401e+18
62,1.0595506907234058e+18,1.220175531502723e+18
63,1.0595506907234058e+18,9.994094941856932e+17
64,1.0595506907234058e+18,3292047089.0
65,1.0595506907234058e+18,1.048242111752151e+18
66,1.0595506907234058e+18,7.114560280476262e+17
67,1.0595506907234058e+18,1.030058300291928e+18
68,1.0595506907234058e+18,912814657.0
69,1.0595506907234058e+18,63961138.0
70,1.0595506907234058e+18,41694901.0
71,1.0595506907234058e+18,32153090.0
72,1.0595506907234058e+18,1033159032.0
73,1.0595506907234058e+18,602325592.0
74,1.0595506907234058e+18,1.168171894228566e+18
75,1.0595506907234058e+18,58017407.0
76,1.0595506907234058e+18,1.1565672590259896e+18
77,1.0595506907234058e+18,1.1406693895760527e+18
78,1.0595506907234058e+18,3292012480.0
79,1.0595506907234058e+18,339966728.0
80,1.0595506907234058e+18,846428910.0
81,1.0595506907234058e+18,1.0232464245894554e+18
82,1.0595506907234058e+18,9.403445950696408e+17
83,1.0595506907234058e+18,490900538.0
84,1.0595506907234058e+18,62242990.0
85,1.0595506907234058e+18,844631148.0
86,1.0595506907234058e+18,515150294.0
87,1.0595506907234058e+18,524414506.0
88,1.0595506907234058e+18,291088530.0
89,1.0595506907234058e+18,414844322.0
90,1.0595506907234058e+18,3168226062.0
91,1.0595506907234058e+18,402771404.0
92,1.0595506907234058e+18,9.889752888718048e+17
93,1.0595506907234058e+18,8.602933401846866e+17
94,1.0595506907234058e+18,14781077.0
95,1.0595506907234058e+18,102110309.0
96,1.0595506907234058e+18,248757774.0
97,1.0595506907234058e+18,1.0628203401397288e+18
98,1.0595506907234058e+18,896219606.0
99,1.0595506907234058e+18,1.10693133439864e+18
100,1.0595506907234058e+18,36353897.0
101,1.0595506907234058e+18,290603196.0
102,1.0595506907234058e+18,2901307094.0
103,1.0595506907234058e+18,234132202.0
104,1.0595506907234058e+18,2409007623.0
105,1.0595506907234058e+18,68327831.0
106,1.0595506907234058e+18,9.758742315055104e+17
107,1.0595506907234058e+18,9.589011158478356e+17
108,1.0595506907234058e+18,281488238.0
109,1.0595506907234058e+18,374593811.0
110,1.0595506907234058e+18,8.791258247288177e+17
111,1.0595506907234058e+18,260859495.0
112,1.0595506907234058e+18,1.0486720781430824e+18
113,1.0595506907234058e+18,7.181601674482156e+17
114,1.0595506907234058e+18,98938235.0
115,1.0595506907234058e+18,2952088708.0
116,1.0595506907234058e+18,8.580708906004193e+17
117,1.0595506907234058e+18,2477674200.0
118,1.0595506907234058e+18,221393687.0
119,1.0595506907234058e+18,1293927356.0
120,1.0595506907234058e+18,2447547868.0
121,1.0595506907234058e+18,1.0846311414733088e+18
122,1.0595506907234058e+18,277033137.0
123,1.0595506907234058e+18,42215600.0
124,1.0595506907234058e+18,7.756396800166502e+17
125,1.0595506907234058e+18,548657816.0
126,1.0595506907234058e+18,2884323033.0
127,1.0595506907234058e+18,24067286.0
128,1.0595506907234058e+18,1.0371519415608566e+18
129,1.0595506907234058e+18,9.840352100220804e+17
130,1.0595506907234058e+18,40988792.0
131,1.0595506907234058e+18,195854721.0
132,1.0595506907234058e+18,2523783230.0
133,1.0595506907234058e+18,7.969436620264653e+17
134,1.0595506907234058e+18,1.0088377846464224e+18
135,1.0595506907234058e+18,8.701093108854047e+17
136,1.0595506907234058e+18,394995007.0
137,1.0595506907234058e+18,27131907.0
138,1.0595506907234058e+18,165091183.0
139,1.0595506907234058e+18,521170421.0
140,1.0595506907234058e+18,1202631991.0
141,1.0595506907234058e+18,275269515.0
142,1.0595506907234058e+18,1000685491.0
143,1.0595506907234058e+18,8.908151646052762e+17
144,1.0595506907234058e+18,1.0017784787301048e+18
145,1.0595506907234058e+18,20209442.0
146,1.0595506907234058e+18,1385857873.0
147,1.0595506907234058e+18,1033136413.0
148,1.0595506907234058e+18,2258256020.0
149,1.0595506907234058e+18,9.131024850359172e+17
150,1.0595506907234058e+18,341019173.0
151,1.0595506907234058e+18,562591464.0
152,1.0595506907234058e+18,809474647.0
153,1.0595506907234058e+18,3323156720.0
154,1.0595506907234058e+18,73776463.0
155,1.0595506907234058e+18,9.0797418896264e+17
156,1.0595506907234058e+18,391169076.0
157,1.0595506907234058e+18,9.542428186372136e+17
158,1.0595506907234058e+18,9.491211168235724e+17
159,1.0595506907234058e+18,1418992249.0
160,1.0595506907234058e+18,370921004.0
161,1.0595506907234058e+18,9.403445950696407e+17
162,1.0595506907234058e+18,765355350.0
163,1.0595506907234058e+18,1672323726.0
164,1.0595506907234058e+18,8.908151646052762e+17
165,1.0595506907234058e+18,1332792588.0
166,1.0595506907234058e+18,2436880951.0
167,1.0595506907234058e+18,3043973260.0
168,1.0595506907234058e+18,47830854.0
169,1.0595506907234058e+18,7.402612364751012e+17
170,1.1928070288734044e+18,486977981.0
171,1.1928070288734044e+18,58975906.0
172,1.1928070288734044e+18,754327532.0
173,1.1928070288734044e+18,2271141799.0
174,1.1928070288734044e+18,1077431534.0
175,1.1928070288734044e+18,112332715.0
176,1.1928070288734044e+18,318090564.0
177,1.1928070288734044e+18,613683872.0
178,1.1928070288734044e+18,61390803.0
179,1.1928070288734044e+18,4235470360.0
180,1.1928070288734044e+18,2301722687.0
181,1.1928070288734044e+18,9.333032860982231e+17
182,1.1928070288734044e+18,15216982.0
183,1.288927673885098e+18,486977981.0
184,1.288927673885098e+18,2155481869.0
185,1.288927673885098e+18,1.1645605855032484e+18
186,1.288927673885098e+18,1.1806402027983708e+18
187,1.288927673885098e+18,1.2475709939520512e+18
188,1.288927673885098e+18,1033136413.0
189,1.288927673885098e+18,14781077.0
190,1.288927673885098e+18,3329939933.0
191,1.288927673885098e+18,2882804679.0
192,1.288927673885098e+18,100115449.0
193,1.288927673885098e+18,842089442.0
194,1.288927673885098e+18,237809320.0
195,1.288927673885098e+18,1.1677867226813768e+18
196,1.288927673885098e+18,3317256518.0
197,1.288927673885098e+18,7.70637983309566e+17
198,1.288927673885098e+18,4495243283.0
199,1.288927673885098e+18,7.072194050134548e+17
200,1.288927673885098e+18,24067286.0
201,1.288927673885098e+18,1340975408.0
