,Id,degree,group
0,1621112610.0,704,4.0
1,2704172442.0,679,4.0
2,404965713.0,667,4.0
3,93869532.0,561,4.0
4,1863593143.0,551,4.0
5,598808257.0,538,4.0
6,486977981.0,535,6.0
7,52479182.0,534,4.0
8,421404506.0,531,4.0
9,38425511.0,530,3.0
10,73776463.0,524,0.0
11,30650224.0,504,4.0
12,3043973260.0,501,3.0
13,224997660.0,500,4.0
14,755199384.0,496,4.0
15,101776647.0,494,0.0
16,515150294.0,484,0.0
17,47830854.0,482,4.0
18,21025630.0,467,4.0
19,158083365.0,464,4.0
20,74759973.0,457,3.0
21,160838330.0,447,4.0
22,708142578.0,444,4.0
23,1672323726.0,440,0.0
24,223481664.0,436,4.0
25,794594292.0,430,0.0
26,581373245.0,429,4.0
27,178778347.0,429,4.0
28,202256715.0,427,4.0
29,264335792.0,424,4.0
30,106253569.0,415,4.0
31,2945231130.0,414,4.0
32,7.74639346410369e+17,405,0.0
33,548657816.0,401,0.0
34,7.142251133993083e+17,396,4.0
35,1118012288.0,393,3.0
36,221393687.0,393,3.0
37,553087472.0,392,4.0
38,385095165.0,390,4.0
39,467060479.0,389,4.0
40,425196776.0,381,4.0
41,1332792588.0,379,0.0
42,2337139178.0,365,4.0
43,95052257.0,364,4.0
44,3081998068.0,355,4.0
45,4831465174.0,353,3.0
46,1072398817.0,349,4.0
47,332532382.0,348,4.0
48,462602118.0,348,4.0
49,419747701.0,347,0.0
50,610067519.0,346,3.0
51,295302727.0,341,4.0
52,1.006622748393771e+18,338,4.0
53,1.006622748393771e+18,338,4.0
54,190877396.0,337,4.0
55,4353261136.0,335,4.0
56,378581484.0,334,3.0
57,895369100.0,330,4.0
58,1360381742.0,329,3.0
59,1271013866.0,326,3.0
60,2379862393.0,325,4.0
61,43046446.0,323,4.0
62,1312104894.0,316,4.0
63,16981385.0,315,4.0
64,145330238.0,304,4.0
65,8.2803622445568e+17,301,4.0
66,8.2803622445568e+17,301,4.0
67,328288408.0,294,4.0
68,636409948.0,291,3.0
69,164353221.0,288,0.0
70,307218366.0,287,4.0
71,141416486.0,287,0.0
72,2353619409.0,285,3.0
73,1328914758.0,284,2.0
74,320509864.0,282,4.0
75,7.397334464156836e+17,282,3.0
76,7.397334464156836e+17,282,3.0
77,64870402.0,280,3.0
78,8.28306601626968e+17,275,3.0
79,299187823.0,275,4.0
80,28778614.0,274,4.0
81,8.908151646052762e+17,273,0.0
82,8.908151646052762e+17,273,0.0
83,4437757636.0,271,4.0
84,9.403445950696407e+17,269,0.0
85,322782551.0,259,0.0
86,369866282.0,255,4.0
87,1.0312600032635658e+18,254,0.0
88,61771891.0,252,3.0
89,343365816.0,252,0.0
90,26466364.0,251,4.0
91,72767883.0,248,3.0
92,8.063167671193764e+17,248,4.0
93,210897756.0,243,3.0
94,309462920.0,242,3.0
95,3059436562.0,242,4.0
96,24128531.0,241,0.0
97,4144513877.0,237,4.0
98,416424914.0,233,3.0
99,73933794.0,232,3.0
100,241700729.0,232,4.0
101,7.416211053503242e+17,230,3.0
102,40683029.0,228,0.0
103,1697075766.0,228,4.0
104,815608362.0,227,0.0
105,731897738.0,227,3.0
